user,type_bool,summary_bytes,total_byte_change,addition_or_deletion,isBotEdit,isMinor,isUnpatrolled,isNew,no_of_edits
Cyberbot I,1,75,0,0,1,0,0,0,940
Ale jrb,1,51,894,1,0,0,0,0,152
NatureBoyMD,1,88,11,0,0,0,0,0,1
Ale jrb,1,54,1217,1,0,0,0,1,153
Justlettersandnumbers,1,40,615,1,0,0,0,0,63
9.144.30.164,1,19,0,0,0,0,0,0,6
PotvinSux,1,0,803,1,0,0,0,0,15
.76.14.242,1,13,285,0,0,0,0,0,2
Keizers,1,86,16,1,0,0,0,0,5
Ale jrb,1,133,1,1,0,1,0,0,155
Ale jrb,1,60,1230,1,0,0,0,1,155
J 1982,1,87,62,1,0,0,0,0,494
Autadelphon,1,0,166,1,0,0,0,0,10
Bretonbanquet,1,6,1,0,0,0,0,0,4
Avicennasis,1,12,22,1,0,0,0,0,208
.187.119.245,1,36,8,1,0,0,0,0,1
Rich Farmbrough,0,57,57,1,0,1,0,0,1093
00:8803:7A00:19:8411:5797:7BA9:1305,1,12,13,1,0,0,0,0,44
ClueBot NG,1,190,530,1,0,1,0,0,1520
ClueBot NG,1,70,1837,1,0,0,0,0,1520
8.154.202.253,1,21,14,0,0,0,0,0,4
Sabbatino,1,30,458,1,0,0,0,0,82
TheMightyPeanut,1,43,14,0,0,1,0,0,361
.55.216.213,1,13,284,1,0,0,0,0,1
Maxlu05,1,0,17,1,0,1,0,0,1
Carliertwo,1,9,9,1,0,0,0,0,63
George Ho,1,7,146,0,0,0,0,0,107
8.78.102.234,1,20,5,0,0,0,0,0,1
Toddst1,1,24,106,0,0,0,0,0,123
Exemplo347,1,44,759,1,0,0,0,0,147
TheMightyPeanut,1,43,14,0,0,1,0,0,362
InceptionBot,1,49,845,0,1,0,0,0,954
InceptionBot,1,19,774,1,1,0,0,0,954
9.65.59.30,1,0,0,0,0,0,0,0,1
EvMsmile,0,29,457,1,0,0,0,0,13
.137.109.116,1,9,109,0,0,0,0,0,1
JBVaughan,1,8,318,1,0,0,0,0,37
AnomieBOT,1,25,488,1,0,0,0,0,1075
JohnnyCashMoney,1,18,242,1,0,0,0,0,4
TheMightyPeanut,1,43,14,0,0,1,0,0,363
Rwxrwxrwx,1,8,120,1,0,0,0,0,103
Mediarmy,1,16,80,1,0,1,0,0,3
QuartierLatin1968,1,4,21,1,0,0,0,0,1
.46.3.174,0,36,324,1,0,0,0,0,2
Berkleesummer,1,75,122,1,0,1,0,0,1
A02:C7D:C549:2500:3D2A:E3E1:C4A7:2661,1,0,28,1,0,0,0,0,3
8.154.202.253,1,13,14,0,0,0,0,0,5
Charleydrgreen,1,62,14,1,0,0,0,0,16
Willy of Wheels,1,0,15,1,0,0,0,0,2
KBH96,1,0,10,0,0,0,0,0,84
TheMightyPeanut,1,43,14,0,0,1,0,0,364
Ultimateria,1,3,431,1,0,0,0,0,37
Frietjes,1,47,813,0,0,1,0,0,423
CAPTAIN RAJU,1,124,123,1,0,1,0,0,195
TheMightyPeanut,1,43,14,0,0,1,0,0,365
Lobsterthermidor,1,17,4,1,0,0,0,0,28
Sussexpeople,1,32,6,1,0,0,0,0,9
CAPTAIN RAJU,1,105,344,1,0,0,0,0,196
TheMightyPeanut,1,43,14,0,0,1,0,0,366
Postcard Cathy,1,19,55,1,0,0,0,0,185
.103.184.61,1,4,2095,1,0,0,0,0,2
.151.217.3,1,0,76,1,0,0,0,0,30
Mati14569,1,17,2,0,0,0,0,0,89
Grafen,1,73,1,0,0,1,0,0,5
A02:C7F:A21D:A00:9AB:A1E:E55A:EC37,1,0,3,0,0,0,0,0,1
Akshay.singhal,1,175,40,1,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,367
07:FEA8:3D20:270:9EA:3846:69E1:C087,1,16,80,1,0,0,0,0,5
Ghrelinger,1,26,1,0,0,0,0,0,39
Equinox,1,91,6,1,0,0,0,0,161
TheMightyPeanut,1,43,14,0,0,1,0,0,368
Fixuture,1,67,4,1,0,1,0,0,171
.150.124.202,1,0,539,0,0,0,0,0,1
Tevildo,1,31,122,1,0,0,0,0,5
EEng,1,2,1,0,0,0,0,0,69
TheMightyPeanut,1,43,14,0,0,1,0,0,369
Hamish008,1,4,9,1,0,0,0,0,1
Davey2010,1,119,51,0,0,1,0,0,44
TheMightyPeanut,1,43,14,0,0,1,0,0,370
BrillLyle,1,28,72,1,0,0,0,0,105
.102.76.216,1,14,1,1,0,0,0,0,9
Advisorgee,1,11,13,0,0,1,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,371
Fixuture,1,67,4,1,0,1,0,0,172
QuizzicalBee,1,7,156,1,0,0,0,0,11
Mac Dreamstate,1,21,31,1,0,0,0,0,19
Tazerdadog,1,41,20,1,0,0,0,0,2
DrChrissy,1,128,2,0,0,0,0,0,11
Rwxrwxrwx,1,8,9,0,0,0,0,0,104
Prolog,1,133,11,0,0,1,0,0,1
4.169.134.100,1,0,16,1,0,0,0,0,1
CAPTAIN RAJU,1,109,369,0,0,0,0,0,198
CAPTAIN RAJU,1,75,539,1,0,0,0,1,198
ClueBot NG,1,190,16,0,0,1,0,0,1522
ClueBot NG,1,70,1279,1,0,0,0,0,1522
TAnthony,1,101,70,1,0,0,0,0,113
01:602:9500:F5B9:D:8731:8F86:74F,1,13,774,0,0,0,0,0,1
Justinedarling,1,17,12,0,0,0,0,0,4
Bretonbanquet,1,6,12,0,0,0,0,0,5
Grafen,1,86,2,0,0,1,0,0,6
J 1982,1,93,68,1,0,0,0,0,495
Martinc90,1,0,297,1,0,0,0,0,2
ClueBot NG,1,191,47,0,0,1,0,0,1524
ClueBot NG,1,64,1309,1,0,0,0,1,1524
Lkchild,1,27,4,1,0,0,0,0,10
Shashankmfp,0,0,2182,1,0,0,0,0,3
ShugSty,1,55,7,0,0,0,0,0,4
Magnolia677,1,137,48,0,0,0,0,0,77
Grafen,1,63,4,0,0,1,0,0,7
Rubbish computer,1,36,2312,1,0,0,0,1,208
CAPTAIN RAJU,1,126,21,1,0,1,0,0,199
Ocfootballknut,1,14,518,0,0,0,0,0,118
00:100A:B01E:BA59:1F23:2EFC:E933:3D4A,1,0,0,0,0,0,0,0,1
Ser Amantio di Nicolao,1,72,44,1,0,0,0,0,262
Cochrane21,1,0,23,1,0,0,0,0,3
remains,1,26,511,1,0,0,0,0,3
CAPTAIN RAJU,1,70,1115,1,0,0,0,0,200
TheMightyPeanut,1,43,14,0,0,1,0,0,372
.190.14.126,1,46,382,1,0,0,0,0,3
9.65.59.30,1,0,1,0,0,0,0,0,2
Grafen,1,67,2,0,0,1,0,0,8
Theringoshow,1,22,11,0,0,0,0,0,3
Keith D,1,39,16,1,0,0,0,0,20
HappyWaldo,1,14,15,0,0,0,0,0,5
Starcheerspeaksnewslostwars,1,0,1551,1,0,0,0,0,144
A02:C7F:7411:9300:90A4:D73:71DC:9991,1,0,128,1,0,0,0,0,1
A02:C7F:A21D:A00:9AB:A1E:E55A:EC37,1,0,2,1,0,0,0,0,2
TheMightyPeanut,1,43,14,0,0,1,0,0,373
Fixuture,1,67,4,1,0,1,0,0,173
George Ho,1,24,2,1,0,0,0,0,108
07:FEA8:3D20:270:9EA:3846:69E1:C087,1,16,83,0,0,0,0,0,6
JBVaughan,1,17,42,1,0,0,0,0,38
Ser Amantio di Nicolao,1,72,44,1,0,0,0,0,263
Grafen,1,80,7,0,0,1,0,0,9
AnomieBOT,1,34,18,1,1,1,0,0,1076
LightSoup,1,18,438,0,0,0,0,0,65
8.78.102.234,1,10,1,0,0,0,0,0,2
.131.213.210,1,16,3,0,0,0,0,0,4
Justinedarling,1,17,4,0,0,0,0,0,5
Jamescombs1,1,62,93,0,0,0,0,0,1
.151.124.24,1,16,3,1,0,0,0,0,1
.171.210.25,1,0,291,0,0,0,0,0,1
Not with all those rocks about,1,147,123,0,0,1,0,0,2
POSHFAM,1,19,154,1,0,1,0,0,3
2.23.222.42,1,149,5,1,0,0,0,0,4
Doc Strange,1,17,42,1,0,0,0,0,7
Emaanalis,1,0,22,0,0,0,0,0,1
Quebec99,1,36,51,0,0,1,0,0,34
Frietjes,1,10,11,0,0,0,0,0,424
AvicBot,1,55,11,1,1,1,0,0,608
Layusmen,1,0,7,1,0,1,0,0,4
TheMightyPeanut,1,43,14,0,0,1,0,0,374
Fixuture,1,67,4,1,0,1,0,0,174
Yoninah,1,8,35,1,0,0,0,0,24
9.144.30.164,1,19,54,0,0,0,0,0,7
Carliertwo,1,9,18,1,0,0,0,0,64
Rusted AutoParts,1,0,71,1,0,0,0,0,15
Buckshot06,0,79,167,1,0,0,0,0,24
KansasCity,1,109,42,0,0,0,0,0,6
Erutuon,1,20,72,1,0,0,0,0,72
TDKR Chicago 101,1,0,2,0,0,0,0,0,16
Postcard Cathy,1,0,5,1,0,0,0,0,186
Jrooster49,1,83,22,1,0,0,0,0,56
ChilternGiant,1,13,200,1,0,0,0,0,1
Martinc90,1,0,0,0,0,0,0,0,3
The Rambling Man,1,47,146,1,0,0,0,0,84
JoeHebda,1,75,167,1,0,0,0,0,56
Bs1jac,1,0,627,1,0,0,0,0,1
Grafen,1,71,1,0,0,1,0,0,10
TheMightyPeanut,1,43,14,0,0,1,0,0,375
Quadcont,1,10,795,1,0,0,1,0,115
Mikhail Ryazanov,1,24,0,0,0,1,0,0,14
Mandruss,1,63,113,0,0,0,0,0,58
Grafen,1,67,1,0,0,1,0,0,11
Schumway007,1,0,10,1,0,0,0,0,3
Huldra,1,26,1,0,0,1,0,0,28
Natty4bumpo,1,13,27,1,0,0,0,0,1
TheMightyPeanut,1,43,14,0,0,1,0,0,376
Fixuture,1,67,4,1,0,1,0,0,175
Immigrant laborer,1,33,1,0,0,1,0,0,5
07:FEA8:3D20:270:9EA:3846:69E1:C087,1,20,80,1,0,0,0,0,7
Gwillhickers,0,26,382,1,0,0,0,0,27
.195.238.183,1,17,26,0,0,0,0,0,1
Iztwoz,1,15,16,1,0,0,0,0,32
Johnpacklambert,1,69,42,1,0,0,0,0,975
4.169.134.100,1,10,22,0,0,0,0,0,2
9.153.196.37,1,0,155,0,0,0,0,0,39
.107.20.14,1,10,3,1,0,0,0,0,1
Theringoshow,1,22,26,0,0,0,0,0,4
Mac Dreamstate,1,32,40,1,0,0,0,0,20
Clare.,1,34,1108,1,0,0,0,0,6
TheMightyPeanut,1,43,14,0,0,1,0,0,377
